Make,Model,Year,QIRRate,DefectRate,Composite score,Filter,Make and model,,Unique makes,Unique models
BMW,X1,2015,,0,1,TRUE,BMW X1,,Acura,Acura CL
Acura,ZDX,2015,,1,0.979166667,TRUE,Acura ZDX,,Audi,Acura Integra
Audi,A7,2014,,1,0.979166667,TRUE,Audi A7,,BMW,Acura Legend
Audi,A7,2015,,1,0.979166667,TRUE,Audi A7,,Buick,Acura MDX
Audi,R8,2012,,1,0.979166667,TRUE,Audi R8,,Cadillac,Acura RDX
Lincoln,MKX,2019,,1,0.979166667,TRUE,Lincoln MKX,,Chevrolet,Acura RL
Porsche,911,2017,,1,0.979166667,TRUE,Porsche 911,,Chrysler,Acura RSX
Porsche,911,2018,,1,0.979166667,TRUE,Porsche 911,,Dodge,Acura SLX
Porsche,911,2019,,1,0.979166667,TRUE,Porsche 911,,Ford,Acura TL
Volvo,V90,2014,,1,0.979166667,TRUE,Volvo V90,,GMC,Acura TSX
Volvo,V90,2015,,1,0.979166667,TRUE,Volvo V90,,Honda,Acura Vigor
Acura,Legend,2014,,2,0.958333333,TRUE,Acura Legend,,Hyundai,Acura ZDX
Audi,R8,2014,,2,0.958333333,TRUE,Audi R8,,Jeep,Audi A3
Audi,R8,2015,,2,0.958333333,TRUE,Audi R8,,Kia,Audi A5
BMW,X1,2012,,2,0.958333333,TRUE,BMW X1,,Lincoln,Audi A6
Jeep,Wrangler,2019,,2,0.958333333,TRUE,Jeep Wrangler,,Mazda,Audi A7
Chevrolet,Corvette,1996,98,5,0.937916667,TRUE,Chevrolet Corvette,,Mercedes-Benz,Audi Q7
Acura,RDX,2019,,3,0.9375,TRUE,Acura RDX,,MINI,Audi R8
Acura,Vigor,2015,,3,0.9375,TRUE,Acura Vigor,,Nissan,Audi TT
Audi,R8,2013,,3,0.9375,TRUE,Audi R8,,Porsche,BMW 3_Series
Chevrolet,Volt,2015,,3,0.9375,TRUE,Chevrolet Volt,,Scion,BMW 5_Series
Mazda,MX-5,2008,95,4,0.933333333,TRUE,Mazda MX-5,,Subaru,BMW M5
Mazda,MX-5,2002,97,5,0.932916667,TRUE,Mazda MX-5,,Toyota,BMW X1
Mazda,MX-5,2003,97,5,0.932916667,TRUE,Mazda MX-5,,Volkswagen,BMW Z4
Chevrolet,Corvette,1998,98,6,0.9275,TRUE,Chevrolet Corvette,,Volvo,Buick Enclave
Chevrolet,Corvette,1999,98,6,0.9275,TRUE,Chevrolet Corvette,,,Buick LaCrosse
Chevrolet,Corvette,2000,98,6,0.9275,TRUE,Chevrolet Corvette,,,Cadillac Escalade
Chevrolet,Corvette,2001,98,6,0.9275,TRUE,Chevrolet Corvette,,,Chevrolet Corvette
Chevrolet,Corvette,2002,98,6,0.9275,TRUE,Chevrolet Corvette,,,Chevrolet Impala
Porsche,911,2013,98,6,0.9275,TRUE,Porsche 911,,,Chevrolet Tahoe
BMW,X1,2009,,3.5,0.927083333,TRUE,BMW X1,,,Chevrolet Volt
