x1i10hfl href,x168nmei src,x193iq5w,x1lliihq,x1lliihq (2),x1lliihq (3),x193iq5w (2)
https://www.facebook.com/marketplace/item/1940254940048007/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496309042_122208181328146838_1156512738321333907_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=26I8Nvv5nOIQ7kNvwFZE0WO&_nc_oc=AdmnNsIp8aB6gWWTJLmdthjE7ZAIkFeBfPSeHEb68clLUUHkBBcbReQTBLBZdp5JBPI&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfLg9QtViNQAzWZWz3uXCO3ApRNhX-dQGucKgcYQS7TB9g&oe=682C9B0A,"CA$1,234",2007 Toyota camry,"Toronto, ON",200K km,
https://www.facebook.com/marketplace/item/976446890990949/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495086670_618697797873184_2408875796215816448_n.jpg?stp=c0.167.1542.1542a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=zH-Ra-5nPIIQ7kNvwG64gqM&_nc_oc=AdkQxmlHAjcfE_Uu_Y9fvkXwe4ka_PbzrC0DvF571J_brg22dPu4IoSajTo3-QY4z2g&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKq4HLoWi2a5areNqn6_PWLpL8fl_LFo_yc70MGSIZxzg&oe=682C9425,"CA$2,000",2012 Hyundai as is cars for sale,"Toronto, ON",100K km,
https://www.facebook.com/marketplace/item/1027129979484660/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496929578_122102642534868897_5315412346009918483_n.jpg?stp=c151.0.868.868a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=6Of9mAr9k4AQ7kNvwGAEmjH&_nc_oc=Adl-FqFCUBuFAAqix7RYSWKzz-wRUPzQQMc1EvGks3IV7UMWsAOLIc9ZCphCm1_ZY64&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfL1UYicSXwAHL5MHqFgsLIvegsV-b-sKgySM7PHGh2t3g&oe=682C99A5,"CA$9,000",2010 Honda civic,"Toronto, ON",131K km,
https://www.facebook.com/marketplace/item/1451448552400147/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/445523301_10160172087061588_7790773574905805025_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=946e27&_nc_ohc=Riqh31QJ0KwQ7kNvwEWT_35&_nc_oc=AdmKSdJI4Wh5p7t6gJWw_UqTL5D-kh0PWn1IFBg0QhSvvJviqy_TesDrT9ZJbQ3aeJE&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKUyfZs4vsjPR6_EvfE2KpTSTvJSKtXscFfDT5XlOqzPw&oe=682C8FC9,"CA$12,000",2013 Scion fr-s,"Norfolk, ON",200K km,"CA$28,000"
https://www.facebook.com/marketplace/item/3999993643659818/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/484167533_633562182789174_7002502386990433427_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=q0U3u8ZjUdYQ7kNvwHZqX4f&_nc_oc=Adm5hl4VxPhm12rDoHr5F_aSlUqEp-xGQswUS7ltk45hBb15_IwuJMMbrABRBq4ajXg&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKwQFP6gnIfwhaPdvTYXKJo0pqXQDtwYHxauA4SH8UYjw&oe=682C8A6D,"CA$1,234",2009 Porsche cayenne,"Whitchurch-Stouffville, ON",214K km,
https://www.facebook.com/marketplace/item/1257202943073331/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/496006345_10160906271711835_7932333964500696364_n.jpg?stp=c0.364.945.945a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=CnRVFiF_jLIQ7kNvwElAPFU&_nc_oc=Adk14CMD9zR4nLBysK0A_Mxmg9CrWpecgp3GdobJCL_3BiLn4Sn5sDcJZCHQQkgIk08&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfLAyDbjsQj8PxNS304mUttmVTIN6ilP4tnxLaf6vpC4oA&oe=682CA9A2,"CA$4,000",2012 Ford focus,"Burlington, ON",180K km,
https://www.facebook.com/marketplace/item/1321531978916768/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t45.5328-4/496749825_1036471531248799_1019644541330726090_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=-RTfX7gYZVEQ7kNvwEhKvED&_nc_oc=AdnRQ_RJzX7MN_300jlQSEMsiiJ--Eo9AtpR8mNQ2oR0iW_fgnawBs7fdVP24GLRrwE&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfKury0DDCAHsZXhVW21uz7ytgBt2HIvW3glq3gCoGQyNA&oe=682C8C53,"CA$4,999",2012 Volkswagen jetta,"Toronto, ON",181K km,
https://www.facebook.com/marketplace/item/1146493490138391/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/489850805_122218941752237511_3494763083523532462_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Jn5SxXH0i9AQ7kNvwHNyCiN&_nc_oc=AdmNB4J60bx4E4mwAwxwiraEgctrw-hmOkvFBJ-cKChCHKe3CJ93ssrCuOMxo-TfQWs&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfIu5CiYkl2EmH7almdWRx6AWx2Sdcus8b1bOzP25KAfEQ&oe=682C9143,"CA$4,875",2008 Honda civic,"Midland, ON",199K km,
https://www.facebook.com/marketplace/item/1864296127690089/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/498209049_10088190887909304_6175665238717863763_n.jpg?stp=c0.166.1512.1512a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=8UVdQGmy2qYQ7kNvwG0aT03&_nc_oc=AdlLTUWYjftTaAYfClWSbzYA9TPOk9Xo7o80P_z9FB-IullksnxK_gSiNBlYzrtDIf8&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfJoJPsZRGBmVrscHBgPCUNunf0HhrybUp4F1Rz6Xze8pA&oe=682C8AAA,"CA$2,999",2011 Ford fusion,"Welland, ON",200K km,
https://www.facebook.com/marketplace/item/1266890275164028/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,https://scontent-yyz1-1.xx.fbcdn.net/v/t39.30808-6/495789709_708076765210878_1843516684344052862_n.jpg?stp=c0.535.1392.1392a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=kD5mqq8hFOIQ7kNvwEFiIgP&_nc_oc=AdmvSpX627qXV1mLK62O1WAjFg3TBNu4GdTyUAAmZJtudDBg6Ul-yKffOM5UOSxUSN4&_nc_zt=23&_nc_ht=scontent-yyz1-1.xx&_nc_gid=o0SbuDTEnAScElAOGOZbuw&oh=00_AfLka-4gSZ0KK1pxyneSMhAfsDD-yh_UXbsptK396qydFA&oe=682CA6A6,"CA$1,234",2005 Smart car,"North Perth, ON",123K km,
