id,url,deal_score,tco_cost_per_km,avg_annual_tco,make,model,year,price,mileage,composite_score,estimated_resale_after_period,scraped_date,tco_purchase_tax,tco_total_depreciation_over_period,tco_avg_annual_depreciation,tco_estimated_resale_value_after_period,tco_total_fuel_cost_over_period,tco_avg_annual_fuel_cost,tco_fuel_price_used_per_l,tco_fuel_consumption_l_100km_used,tco_total_maintenance_over_period,tco_avg_annual_maintenance,tco_total_insurance_over_period,tco_avg_annual_insurance,tco_listing_price,tco_total_tco_plus_tax_over_period,tco_avg_annual_tco_plus_tax,tco_tco_calculation_years,tco_reliability_qir,tco_reliability_defect_rate,tco_remaining_lifespan_km
honda_civic_2019_1.0_259,https://www.facebook.com/marketplace/item/356976126808632/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,53.58,0.46675919346666667,$7001.39,honda,civic,2019,$1.00,93000,0.854166667,$0.59,2025-05-17,$0.13,$0.41,$0.08,$0.59,$8208.00,$1641.60,$1.52,7.2,$17798.40,$3559.68,$9000.00,$1800.00,$1.00,$35006.94,$7001.39,5.0,N/A,7.0,207000.0
honda_civic_2018_99.0_262,https://www.facebook.com/marketplace/item/1765501880844292/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,49.65,0.5061041532,$7591.56,honda,civic,2018,$99.00,121000,0.875416667,$58.46,2025-05-17,$12.87,$40.54,$8.11,$58.46,$8208.00,$1641.60,$1.52,7.2,$20696.40,$4139.28,$9000.00,$1800.00,$99.00,$37957.81,$7591.56,5.0,$98.00,11.0,179000.0
mazda_mazda3_2013_5500.0_4,https://www.facebook.com/marketplace/item/1044604210936796/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,48.11,0.5212920666666666,$7819.38,mazda,mazda3,2013,$5500.00,14000,0.7975,$3247.70,2025-05-17,$715.00,$2252.30,$450.46,$3247.70,$10260.00,$2052.00,$1.52,9.0,$16869.60,$3373.92,$9000.00,$1800.00,$5500.00,$39096.90,$7819.38,5.0,$97.00,18.0,286000.0
honda_civic_2009_5000.0_199,https://www.facebook.com/marketplace/item/1223436459370827/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,46.94,0.5329593333333333,$7994.39,honda,civic,2009,$5000.00,18000,0.773333333,$2952.45,2025-05-17,$650.00,$2047.55,$409.51,$2952.45,$8208.00,$1641.60,$1.52,7.2,$20066.40,$4013.28,$9000.00,$1800.00,$5000.00,$39971.95,$7994.39,5.0,$88.00,16.0,282000.0
volkswagen_golf_2015_6500.0_217,https://www.facebook.com/marketplace/item/3612018839107497/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,42.86,0.5739148666666667,$8608.72,volkswagen,golf,2015,$6500.00,19000,0.823333333,$3838.19,2025-05-17,$845.00,$2661.81,$532.36,$3838.19,$10260.00,$2052.00,$1.52,9.0,$20276.80,$4055.36,$9000.00,$1800.00,$6500.00,$43043.61,$8608.72,5.0,$98.00,16.0,281000.0
honda_civic_2018_13900.0_249,https://www.facebook.com/marketplace/item/1715328056069891/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,41.73,0.5853171866666668,$8779.76,honda,civic,2018,$13900.00,99000,0.875416667,$8207.81,2025-05-17,$1807.00,$5692.19,$1138.44,$8207.81,$8208.00,$1641.60,$1.52,7.2,$19191.60,$3838.32,$9000.00,$1800.00,$13900.00,$43898.79,$8779.76,5.0,$98.00,11.0,201000.0
toyota_corolla_2018_16800.0_141,https://www.facebook.com/marketplace/item/568422362948183/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,41.3,0.5895009066666667,$8842.51,toyota,corolla,2018,$16800.00,121000,0.844166667,$9920.23,2025-05-17,$2184.00,$6879.77,$1375.95,$9920.23,$7752.00,$1550.40,$1.52,6.8,$18396.80,$3679.36,$9000.00,$1800.00,$16800.00,$44212.57,$8842.51,5.0,$98.00,14.0,179000.0
toyota_camry_2016_13.0_291,https://www.facebook.com/marketplace/item/235407779350125/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,41.29,0.5895335150666667,$8843.00,toyota,camry,2016,$13.00,200000,0.81875,$7.68,2025-05-17,$1.69,$5.32,$1.06,$7.68,$9576.00,$1915.20,$1.52,8.4,$25632.00,$5126.40,$9000.00,$1800.00,$13.00,$44215.01,$8843.00,5.0,$95.00,15.0,100000.0
toyota_corolla_2015_11999.0_116,https://www.facebook.com/marketplace/item/1283387323144286/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,40.43,0.5981864065333333,$8972.80,toyota,corolla,2015,$11999.00,126000,0.812916667,$7085.29,2025-05-17,$1559.87,$4913.71,$982.74,$7085.29,$7752.00,$1550.40,$1.52,6.8,$21638.40,$4327.68,$9000.00,$1800.00,$11999.00,$44863.98,$8972.80,5.0,$98.00,17.0,174000.0
toyota_corolla_2017_17898.0_268,https://www.facebook.com/marketplace/item/1221449643097373/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,39.82,0.6042686664000001,$9064.03,toyota,corolla,2017,$17898.00,114000,0.83375,$10568.59,2025-05-17,$2326.74,$7329.41,$1465.88,$10568.59,$7752.00,$1550.40,$1.52,6.8,$18912.00,$3782.40,$9000.00,$1800.00,$17898.00,$45320.15,$9064.03,5.0,$98.00,15.0,186000.0
toyota_camry_2009_3000.0_153,https://www.facebook.com/marketplace/item/1032537802177805/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,39.62,0.6062417333333333,$9093.63,toyota,camry,2009,$3000.00,101000,0.797916667,$1771.47,2025-05-17,$390.00,$1228.53,$245.71,$1771.47,$9576.00,$1915.20,$1.52,8.4,$25273.60,$5054.72,$9000.00,$1800.00,$3000.00,$45468.13,$9093.63,5.0,$95.00,17.0,199000.0
toyota_corolla_2014_12000.0_222,https://www.facebook.com/marketplace/item/1602900410398204/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,39.41,0.6083055999999999,$9124.58,toyota,corolla,2014,$12000.00,123000,0.8025,$7085.88,2025-05-17,$1560.00,$4914.12,$982.82,$7085.88,$7752.00,$1550.40,$1.52,6.8,$22396.80,$4479.36,$9000.00,$1800.00,$12000.00,$45622.92,$9124.58,5.0,$98.00,18.0,177000.0
honda_civic_2017_16800.0_169,https://www.facebook.com/marketplace/item/2131427450627290/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,39.16,0.61093024,$9163.95,honda,civic,2017,$16800.00,90000,0.83375,$9920.23,2025-05-17,$2184.00,$6879.77,$1375.95,$9920.23,$8208.00,$1641.60,$1.52,7.2,$19548.00,$3909.60,$9000.00,$1800.00,$16800.00,$45819.77,$9163.95,5.0,$98.00,15.0,210000.0
honda_civic_2011_280.0_204,https://www.facebook.com/marketplace/item/999686498231777/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,39.14,0.6110381706666667,$9165.57,honda,civic,2011,$280.00,123000,0.808333333,$165.34,2025-05-17,$36.40,$114.66,$22.93,$165.34,$8208.00,$1641.60,$1.52,7.2,$28468.80,$5693.76,$9000.00,$1800.00,$280.00,$45827.86,$9165.57,5.0,$95.00,16.0,177000.0
honda_cr v_2015_16000.0_178,https://www.facebook.com/marketplace/item/630649839929401/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,37.86,0.6237834666666667,$9356.75,honda,cr v,2015,$16000.00,73000,0.807916667,$9447.84,2025-05-17,$2080.00,$6552.16,$1310.43,$9447.84,$9006.00,$1801.20,$1.52,7.9,$20145.60,$4029.12,$9000.00,$1800.00,$16000.00,$46783.76,$9356.75,5.0,$97.00,17.0,227000.0
honda_civic_2019_11888.0_192,https://www.facebook.com/marketplace/item/578922328565775/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,37.6,0.6265719317333334,$9398.58,honda,civic,2019,$11888.00,179000,0.854166667,$7019.75,2025-05-17,$1545.44,$4868.25,$973.65,$7019.75,$8208.00,$1641.60,$1.52,7.2,$23371.20,$4674.24,$9000.00,$1800.00,$11888.00,$46992.89,$9398.58,5.0,N/A,7.0,121000.0
hyundai_elantra_2019_15900.0_31,https://www.facebook.com/marketplace/item/1410561406806722/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,37.41,0.6281361200000001,$9422.04,hyundai,elantra,2019,$15900.00,86000,0.75,$9388.79,2025-05-17,$2067.00,$6511.21,$1302.24,$9388.79,$10260.00,$2052.00,$1.52,9.0,$19272.00,$3854.40,$9000.00,$1800.00,$15900.00,$47110.21,$9422.04,5.0,N/A,12.0,214000.0
mazda_mazda3_2018_12999.0_61,https://www.facebook.com/marketplace/item/1212793816907736/?ref=category_feed&referral_code=null&referral_story_type=post&tracking=browse_serp%3A503090a9-2753-43de-9b82-fcabed55b832&__tn__=!%3AD,37.35,0.6289958732000002,$9434.94,mazda,mazda3,2018,$12999.00,124000,0.817083333,$7675.78,2025-05-17,$1689.87,$5323.22,$1064.64,$7675.78,$10260.00,$2052.00,$1.52,9.0,$20901.60,$4180.32,$9000.00,$1800.00,$12999.00,$47174.69,$9434.94,5.0,$78.00,7.0,176000.0
